Id,Label,content,node_type,transcript_id,node_multiplicity
1,How satisfied are you with the ABC degree program ...,How satisfied are you with the ABC degree program on a scale of 1-10?,question,1|2|3|4,4
2,7...,7,answer,1,1
3,"It's been pretty good overall, but there are defin...","It's been pretty good overall, but there are definitely some areas that could be improved",reason,1,1
4,9...,9,answer,2,1
5,I'm really happy with my choice to study ABC here...,I'm really happy with my choice to study ABC here,reason,2,1
6,5...,5,answer,3,1
7,It's been okay but not what I expected...,It's been okay but not what I expected,reason,3,1
8,8...,8,answer,4,1
9,"Really enjoying it overall, though there are alway...","Really enjoying it overall, though there are always little things that could be better",reason,4,1
10,What aspects of the program do you find most satis...,"What aspects of the program do you find most satisfying, and what would you like to see improved?",question,1|2|3|4,13
11,I really like the practical components and the var...,I really like the practical components and the variety of topics we cover,answer,1,1
12,practical components and variety of topics are sat...,practical components and variety of topics are satisfying aspects,reason,1,1
13,sometimes the workload feels uneven between semest...,"sometimes the workload feels uneven between semesters, and some courses feel disconnected from each other",answer,1,1
14,these are areas that need improvement...,these are areas that need improvement,reason,1,1
15,The professors are fantastic and really accessible...,The professors are fantastic and really accessible,answer,2,2
16,The curriculum feels current and relevant...,The curriculum feels current and relevant,answer,2,2
17,maybe we could use more networking opportunities w...,maybe we could use more networking opportunities with industry professionals,answer,2,2
18,The theory is solid...,The theory is solid,answer,3,2
19,theres way too much theory and not enough hands-on...,theres way too much theory and not enough hands-on experience,answer,3,1
20,Improvement needed in theory-practice balance...,Improvement needed in theory-practice balance,reason,3,1
21,some professors seem out of touch with whats actua...,some professors seem out of touch with whats actually happening in the field right now,answer,3,1
22,Professors need to be more current with the field...,Professors need to be more current with the field,reason,3,1
23,I love the research opportunities...,I love the research opportunities,answer,4,1
24,research opportunities are satisfying...,research opportunities are satisfying,reason,4,1
25,how supportive the academic community is here...,how supportive the academic community is here,answer,4,1
26,the academic community is supportive...,the academic community is supportive,reason,4,1
27,The facilities are also top-notch...,The facilities are also top-notch,answer,4,1
28,facilities are top-notch...,facilities are top-notch,reason,4,1
29,I wish there were more elective options...,I wish there were more elective options,answer,4,1
30,wants more elective options for improvement...,wants more elective options for improvement,reason,4,1
31,maybe some courses could be offered more frequentl...,maybe some courses could be offered more frequently,answer,4,1
32,wants courses offered more frequently for improvem...,wants courses offered more frequently for improvement,reason,4,1
33,Do you prefer courses worth 5 credit points or 10 ...,Do you prefer courses worth 5 credit points or 10 credit points?,question,1|2|3|4|5,10
34,5 CP courses...,5 CP courses,answer,1|3,3
35,The 10 CP ones feel too overwhelming and its harde...,The 10 CP ones feel too overwhelming and its harder to balance multiple subjects when one takes up so much time,reason,1,1
36,10 CP courses...,10 CP courses,answer,2|5,4
37,You can really dive deep into a topic and it feels...,You can really dive deep into a topic and it feels more immersive,reason,2,1
38,fewer courses to juggle at once...,fewer courses to juggle at once,reason,2,1
39,"When a 10 CP course is bad, youre stuck with it fo...","When a 10 CP course is bad, youre stuck with it for the whole semester and it drags down everything else",reason,3,1
40,"At least with 5 CP courses, the damage is more con...","At least with 5 CP courses, the damage is more contained",reason,3,1
41,No strong preference...,No strong preference,answer,4,2
42,5 CP courses give you more variety...,5 CP courses give you more variety,reason,4,1
43,10 CP courses let you really get into the nitty-gr...,10 CP courses let you really get into the nitty-gritty,reason,4,1
44,A mix is best...,A mix is best,answer,4,1
45,Both have their merits...,Both have their merits,reason,4,1
46,It feels more rewarding to invest time and go deep...,It feels more rewarding to invest time and go deeper into one subject rather than splitting attention between too many 5 CP courses,reason,5,1
47,It also makes scheduling easier...,It also makes scheduling easier,reason,5,1
48,Do you prefer classes taught in English or German?...,Do you prefer classes taught in English or German?,question,1|2|3|4|5,10
49,I actually like having both options available...,I actually like having both options available,answer,1|4,4
50,English is good for accessing international resear...,English is good for accessing international research and resources,reason,1,1
51,German classes sometimes allow for deeper discussi...,German classes sometimes allow for deeper discussion since its my native language,reason,1|4,2
52,"English, definitely...","English, definitely",answer,2,2
53,Im planning to work internationally after graduati...,"Im planning to work internationally after graduation, so its good practice",reason,2|5,2
54,Most of the literature and materials are in Englis...,"Most of the literature and materials are in English anyway, so it feels more natural to continue in that language",reason,2|5,2
55,"German, I guess...","German, I guess",answer,3,2
56,"when youre struggling with difficult concepts, its...","when youre struggling with difficult concepts, its easier to understand and participate in your native language",reason,3,1
57,Some of the English classes feel like youre fighti...,Some of the English classes feel like youre fighting the language barrier on top of the actual content,reason,3,1
58,English courses often have better international gu...,English courses often have better international guest lecturers and more diverse perspectives in the classroom,reason,4,1
59,I actually prefer English...,I actually prefer English,answer,5,2
60,Do you prefer multiple graded assignments througho...,Do you prefer multiple graded assignments throughout the semester or one comprehensive final exam?,question,1|2|3|4,8
61,Multiple assignments...,Multiple assignments,answer,1|4,4
62,It reduces stress and gives you a better chance to...,It reduces stress and gives you a better chance to actually learn the material instead of just cramming everything at the end,reason,1,1
63,One comprehensive final exam...,One comprehensive final exam,answer,2,2
64,I like having the whole semester to focus on learn...,I like having the whole semester to focus on learning without worrying about constant deadlines,reason,2,1
65,Then I can really show what I've mastered in one c...,Then I can really show what I've mastered in one comprehensive assessment,reason,2,1
66,"Multiple assignments, but not too many. Maybe 2-3 ...","Multiple assignments, but not too many. Maybe 2-3 throughout the semester",answer,3,2
67,One big exam is too much pressure...,One big exam is too much pressure,reason,3,1
68,Having an assignment due every other week is also ...,Having an assignment due every other week is also exhausting,reason,3,1
69,It keeps you engaged throughout the semester...,It keeps you engaged throughout the semester,reason,4,1
70,You get feedback along the way to improve...,You get feedback along the way to improve,reason,4,1
71,"If you have a bad day during one assignment, it's ...","If you have a bad day during one assignment, it's not the end of the world like it would be with a single exam",reason,4,1
72,"Overall, how have you found the structure and cont...","Overall, how have you found the structure and content of your courses this semester?",question,5,1
73,"I think the content has been quite engaging, and t...","I think the content has been quite engaging, and the workload is manageable. Some courses are a bit theory-heavy, though. Id appreciate a bit more practical application, especially in the seminars.",answer,5,1
